id,area,feature,roles,user_entry,backend,origin,feature_flag,existing_tests,verify_by,side_effects,phase,data_risk,status_signals,confidence,capability_ledger_id,rails_routes,ember_routes
SET-01,"Setup, auth, account & purchasing",Password login (web SPA) issuing a device token,anonymous; communicator; supervisor-SLP; org-admin,login@66: app/frontend/app/routes/login.js (setupController); templates/login/index.hbs renders app/frontend/app/components/login-form.hbs,"session#token app/controllers/session_controller.rb:517 (password grant, browser client_secret check :526, valid_password? :532, COPPA blocks :533-544, SAML redirect :521-524, renamed-user hint :561-571); /auth redirects to /login config/routes.rb:71",heavily modified (vs sweet-suite mirror 55aaa8a: session_controller.rb churn 115%; passwords.rb churn 20%; token.rb churn 0%; login.js churn 243% (frontend); login-form.js churn 381% (frontend); login-form.hbs churn 333% (frontend) (moved from app/frontend/app/templates/components/login-form.hbs); session.js absent; 3/3 routes are upstream actions),"auth_spa_transition (code: AVAILABLE only, off) read app/frontend/app/components/login-form.js:545",spec/controllers/session_controller_spec.rb; spec/models/concerns/passwords_spec.rb; app/frontend/tests/controllers/login-test.js; app/frontend/tests/integration/login-test.js; app/frontend/tests/integration/login-spa-transition-test.js,agent: POST /token with valid/invalid creds,writes,0,"yes: communicator usage logs or utterances; age, consent or guardian data; credentials or tokens",,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",auth-passwords,"POST /token session#token | GET /login boards#index | GET /auth redirect(301, /login)",login:/login
SET-02,"Setup, auth, account & purchasing",Post-login device step (trusted vs shared device / long-lived token),anonymous; communicator; supervisor-SLP; org-admin,login.device@67: app/frontend/app/templates/login/device.hbs:1 (LoginForm @deviceStep); reached via transitionTo at app/frontend/app/components/login-form.js:336,lib/json_api/token.rb:30-34 (long_token / long_token_set in token response); choice saved as preferences.device.long_token at app/frontend/app/components/login-form.js:1034,heavily modified (vs sweet-suite mirror 55aaa8a: token.rb churn 0%; login-form.js churn 381% (frontend); device.hbs absent; device.js absent),none,NONE,human: device-trust choice on a real/shared device,writes,0,no,,ASSUMED: persistence of the long_token choice goes through the user save endpoint (not opened),,,login.device:/device
SET-03,"Setup, auth, account & purchasing",Session token check / restore (incl. SAML tmp-token handoff and 2FA code verify),anonymous; communicator; supervisor-SLP; org-admin,automatic on app boot: app/frontend/app/services/session.js:237; tmp-token login app/frontend/app/components/login-form.js:193-199,"session#token_check app/controllers/session_controller.rb:581 (2FA confirm :630-660, include_token :661)",heavily modified (vs sweet-suite mirror 55aaa8a: session_controller.rb churn 115%; login-form.js churn 381% (frontend); session.js absent; 1/1 routes are upstream actions),none,spec/controllers/session_controller_spec.rb; app/frontend/tests/utils/session-test.js,agent: GET /api/v1/token_check with valid/expired tokens,none (read-only),0,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /api/v1/token_check session#token_check,
SET-04,"Setup, auth, account & purchasing",Two-factor authentication (TOTP): enable/confirm/disable/reset and login prompt,communicator; supervisor-SLP; org-admin,"user.edit: app/frontend/app/templates/user/edit.hbs:76-118; login prompt app/frontend/app/components/login-form.hbs:218-240 (triggered by missing_2fa, login-form.js:306); also app/frontend/app/controllers/user/edit.js:129, app/frontend/app/templates/user/edit.hbs:76-80","api/users#update_2fa app/controllers/api/users_controller.rb:1217 (edit permission); User#assert_2fa!/state_2fa/valid_2fa? app/models/concerns/passwords.rb:67,86,115; token flag lib/json_api/token.rb:13-18; token_check 2fa app/controllers/session_controller.rb:630; also passwords.rb:67-130, api/users_controller.rb:1217-1236, session_controller.rb:14-15",heavily modified (vs sweet-suite mirror 55aaa8a: passwords.rb churn 20%; users_controller.rb churn 76%; device.rb churn 12%; token.rb churn 0%; session_controller.rb churn 115%; edit.hbs churn 132% (frontend); edit.js churn 19% (frontend); login-form.js churn 381% (frontend); login-form.hbs churn 333% (frontend) (moved from app/frontend/app/templates/components/login-form.hbs); 1/1 routes are upstream actions),none,spec/controllers/api/users_controller_spec.rb; spec/models/device_spec.rb; spec/lib/json_api/token_spec.rb; spec/controllers/session_controller_spec.rb,both: API enable/confirm checkable; authenticator-app QR scan needs a human,destructive,0,no,TODO or FIXME in code; commented-out code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",auth-2fa-optional,POST /api/v1/users/:user_id/2fa api/users#update_2fa,
SET-05,"Setup, auth, account & purchasing",Logout (client-side session clear),communicator; supervisor-SLP; org-admin,sign-out action -> app/frontend/app/services/session.js:709 invalidate,none (client-only); no server call in services/session.js from :709 to EOF (:858),heavily modified (vs sweet-suite mirror 55aaa8a: app-state.js churn 103% (frontend) (moved from app/frontend/app/utils/app_state.js); persistence.js churn 63% (frontend); session.js absent),"auth_spa_transition (code: AVAILABLE only, off) read app/frontend/app/services/session.js:704",app/frontend/tests/services/session-spa-transition-test.js,both: check token still valid server-side after logout (agent); UI landing (human),destructive,0,no,,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,,
SET-06,"Setup, auth, account & purchasing",Forgot password / forgot username (email help),anonymous; communicator; supervisor-SLP; org-admin; system,"forgot_password@74: app/frontend/app/templates/forgot_password.hbs (link to forgot_login :40); forgot_login@75: app/frontend/app/templates/forgot-login.hbs:16 + controllers/forgot-login.js; linked from components/login-form.hbs:352; also app/frontend/app/routes/user/password_reset.js:14, controllers/user/password_reset.js:55-69, app/frontend/app/controllers/forgot-login.js:11","api/users#forgot_password app/controllers/api/users_controller.rb:834 (uniform response, no enumeration); also app/controllers/api/users_controller.rb:988, controllers/user/password_reset.js:58",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; boards_controller.rb churn 60%; passwords.rb churn 20%; forgot_password.js churn 117% (frontend); forgot_password.hbs churn 170% (frontend); forgot-login.js churn 117% (frontend); forgot-login.hbs churn 161% (frontend); password_reset.js churn 26% (frontend); password_reset.js churn 53% (frontend); password_reset.hbs churn 82% (frontend); 3/3 routes are upstream actions),none,spec/controllers/api/users_controller_spec.rb; app/frontend/tests/controllers/forgot_password-test.js; app/frontend/tests/controllers/user/password_reset-test.js,both: API response (agent); email delivery (human),destructive; external-send,0,no,TODO or FIXME in code,ASSUMED: forgot_login route resolves the dasherized forgot-login template/controller via ember-resolver underscore/dash fallback,auth-passwords,GET /:id/password_reset/:key boards#index | POST /api/v1/forgot_password api/users#forgot_password | POST /api/v1/users/:user_id/password_reset api/users#password_reset,forgot_password:/forgot_password | forgot_login:/forgot_login | user.password_reset:/password_reset/:code
SET-07,"Setup, auth, account & purchasing",Confirm registration (email link) and resend,anonymous; communicator; supervisor-SLP,user.confirm_registration@153: app/frontend/app/routes/user/confirm_registration.js:14; also app/frontend/app/controllers/user/index.js:1702,api/users#confirm_registration app/controllers/api/users_controller.rb:799 (COPPA blocks :809-821),heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; confirm_registration.js churn 30% (frontend); confirm_registration.hbs churn 345% (frontend); index.js churn 173% (frontend); 2/2 routes are upstream actions),none,spec/controllers/api/users_controller_spec.rb,both: email delivery (human); API (agent),destructive; external-send,0,"yes: age, consent or guardian data",,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /:id/confirm_registration/:key boards#index | POST /api/v1/users/:user_id/confirm_registration api/users#confirm_registration,user.confirm_registration:/confirm_registration/:code
SET-08,"Setup, auth, account & purchasing","Account registration (role, country, birth month/year, terms, product-improvement opt-in, optional start code)",anonymous; communicator; supervisor-SLP; org-admin,register@69: app/frontend/app/routes/register.js:47 saveProfile; app/frontend/app/templates/register.hbs; controllers/register.js; also app/frontend/app/templates/register.hbs:112,"api/users#create app/controllers/api/users_controller.rb:253 (birth required when COPPA on :265-272, AuditEvent user_creation :326-337, provisioning UserBoardProvisioner :285)",heavily modified (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; user.rb churn 156%; register.js churn 127% (frontend); register.js churn 1224% (frontend); register.hbs churn 436% (frontend); 1/1 routes are upstream actions),"compliance_workflow_kernel (code: AVAILABLE only, off) read app/frontend/app/routes/register.js:67; domain_settings.full_domain gate routes/register.js:41",spec/controllers/api/users_controller_spec.rb; app/frontend/tests/controllers/register-test.js,agent: POST /api/v1/users variants,external-send,0,"yes: account identity or contact details; age, consent or guardian data; audio or video recordings; audit or compliance records",,CONFIRMED: cited lines re-read against the code by the author,jurisdiction-primitive,POST /api/v1/users api/users#create,register:/register
SET-09,"Setup, auth, account & purchasing","COPPA under-13 parental consent (signup email, grant/decline/revoke links, login blocks, resend / submit parent email)",anonymous; communicator; supervisor-SLP,"register@69 under-13 branch (routes/register.js:71-74, coppaWaitingParent :90); login-form resend/submit app/frontend/app/components/login-form.js:1262,1341; parent uses emailed tokenized links","parental_consents#complete app/controllers/parental_consents_controller.rb:18, #decline (GET, no mutation) :55, #decline_submit (POST) :61, #revoke :77; api/users#resend_parental_consent app/controllers/api/users_controller.rb:857, #submit_parental_consent_email :896; login blocks app/controllers/session_controller.rb:533-544",LingoLinq-new (vs sweet-suite mirror 55aaa8a: users_controller.rb churn 76%; session_controller.rb churn 115%; user_mailer.rb churn 90%; login-form.js churn 381% (frontend); register.js churn 1224% (frontend); parental_consents_controller.rb absent; complete.html.erb absent; decline.html.erb absent; revoke.html.erb absent; 0/6 routes are upstream actions),"domain setting coppa_parental_consent (lib/json_api/json.rb:202), read app/frontend/app/controllers/register.js:256; not a FeatureFlags flag",spec/controllers/parental_consents_controller_spec.rb; spec/controllers/api/users_controller_spec.rb; spec/controllers/session_controller_spec.rb,both: email delivery and parent click-through (human); state transitions (agent),destructive; external-send,0,"yes: account identity or contact details; age, consent or guardian data; audit or compliance records",,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",coppa-under13-ai-gate,GET /parental_consent/complete parental_consents#complete | GET /parental_consent/decline parental_consents#decline | POST /parental_consent/decline parental_consents#decline_submit | GET /parental_consent/revoke parental_consents#revoke | POST /api/v1/users/resend_parental_consent api/users#resend_parental_consent | POST /api/v1/users/submit_parental_consent_email api/users#submit_parental_consent_email,
SET-10,"Setup, auth, account & purchasing",SMS recipient consent opt-in page,anonymous; supervisor-SLP,none (tokenized link in an SMS invite; no in-app issuer found),"sms_consents#show app/controllers/sms_consents_controller.rb:6 (no mutation), #submit :11 (SmsConsent.grant!)",LingoLinq-new (vs sweet-suite mirror 55aaa8a: sms_consents_controller.rb absent; show.html.erb absent; sms_consent_invite.rb absent; sms_consent.rb absent; 0/2 routes are upstream actions),"sms_recipient_consent (code: AVAILABLE only, off) read app/models/sms_consent_invite.rb:8,20 via lib/feature_flags.rb:278",spec/controllers/sms_consents_controller_spec.rb; spec/models/sms_consent_invite_spec.rb; spec/models/sms_consent_spec.rb,both: SMS delivery (human); form POST (agent),external-send,4,"yes: account identity or contact details; age, consent or guardian data; audio or video recordings",dead or orphaned route or code,"AGENT-REPORTED: static read by an inventory agent; citations bounds-checked, content not re-read by the author",,GET /sms_consent/:token sms_consents#show | POST /sms_consent/:token sms_consents#submit,
